"Rank","Country","Region","Location","AddressOrArea","Phenomenon","Category","EvidenceLevel","EvidenceLabel","VisitPriority","VisitLabel","RouteCluster","OfficialUrl","Latitude","Longitude","CoordinateConfidence","AccessNotes"
"11","USA","Ohio","Serpent Mound","3850 State Route 73, Peebles","Effigy mound and sacred landscape","Sacred / folklore","5","Official public heritage site","5","High; strict ethics","Ohio Valley route","https://www.ohiohistory.org/visit/browse-historical-sites/serpent-mound/","39.0256","-83.4307","Address-geocoded","No after-hours access; no drones; do not walk on mounds"
"12","USA","California","Winchester Mystery House","525 S. Winchester Blvd., San Jose","Haunted architecture and mystery-house lore","Haunted / architecture","4","Documented place plus repeated accounts","5","High","California route","https://winchestermysteryhouse.com/","37.3184","-121.9511","Address-geocoded","Use official tours and current ticketing"
"13","USA","Pennsylvania","Eastern State Penitentiary","2027 Fairmount Ave., Philadelphia","Prison haunting and historic-site programming","Haunted / prison history","5","National Historic Landmark plus staged folklore","5","High","Mid-Atlantic route","https://www.easternstate.org/","39.9683","-75.1727","Address-geocoded","Use official tours; do not imply photos prove haunting"
"14","USA","California","Alcatraz Island","San Francisco Bay","Prison hauntings and Indigenous occupation memory","Haunted / public history","5","NPS documented place; folklore secondary","5","High; ferry access","California route","https://www.nps.gov/alca/index.htm","37.8267","-122.423","Island coordinate","Use NPS/ferry access and preserve historic setting"
"15","USA","Texas","Marfa Lights Viewing Area","US-90 east of Marfa","Anomalous lights","Anomalous lights","3","Repeated accounts; contested explanations","4","Medium-high","Southwest desert route","https://visitmarfa.com/marfa-lights/","30.275","-103.856","Viewing-area approximate","Use public viewing area; night driving caution"
"16","USA","Tennessee","Bell Witch Cave","Adams, Tennessee","Poltergeist folklore","Haunted / folklore","2","Folklore/oral tradition","3","Medium","Appalachia route","https://www.bellwitchcave.com/","36.582","-87.066","Site approximate","Verify official seasonal access before travel"
"17","Mexico","Mexico City","Island of the Dolls","Xochimilco canals","Haunted folk-art island","Haunted / folk tradition","2","Folklore/oral tradition plus visitable site","3","Medium; local boat access","Central Mexico route","https://mexicocity.cdmx.gob.mx/venues/island-of-the-dolls/","19.29","-99.096","Chinampa-area approximate","Use licensed trajinera operators; respect lived landscape"
"18","USA","Maine","International Cryptozoology Museum","Bangor, Maine","Cryptid archive and museum culture","Cryptid / archive","3","Documented place and research archive","4","Medium-high","New England route","https://cryptozoologymuseum.com/","44.8016","-68.7712","City/site approximate","Verify current location and hours"
"19","Canada","British Columbia","Okanagan Lake / Kelowna waterfront","Kelowna, British Columbia","Ogopogo / Nxaxaitkw lake tradition","Cryptid / oral tradition","2","Folklore/oral tradition and repeated accounts","2","Research-only near sensitive tradition","Pacific Northwest / British Columbia","https://www.tourismkelowna.com/things-to-do/outdoor-recreation/okanagan-lake/","49.8879","-119.496","Waterfront approximate","Respect Syilx cultural context and avoid sensational framing"
"20","USA","North Carolina / Virginia","Blue Ridge Parkway / Brown Mountain lights corridor","Blue Ridge Parkway overlooks near western North Carolina","Ghost-light cluster","Anomalous lights / folklore","2","Documented public corridor; weak specific claim","3","Medium; weather dependent","Appalachia route","https://www.nps.gov/blri/index.htm","35.915","-81.75","Regional corridor approximate","Check Parkway closures, weather, and safe overlooks"
